COG	metadata	polarity
COG1058	log_PO4	negative
COG2210	Mean_Oxygen	negative
COG3128	sqrt_iron	negative
COG2921	log_PO4	positive
COG3665	log_NO2NO3	positive
COG2307	log_NO2NO3	negative
COG4102	sqrt_iron	positive
COG0434	sqrt_iron	positive
COG1061	log_PO4	positive
COG3114	log_PO4	positive
COG4257	Mean_Oxygen	negative
COG0392	sqrt_iron	negative
COG2947	log_PO4	negative
COG0061	sqrt_iron	negative
COG1597	log_NO2NO3	positive
COG4976	Mean_Oxygen	positive
COG5316	Mean_Oxygen	negative
COG5531	Mean_Oxygen	negative
COG0432	Mean_Oxygen	negative
COG3083	sqrt_iron	positive
COG3420	Mean_Oxygen	negative
COG4843	log_PO4	negative
COG1361	Mean_Oxygen	negative
COG1931	log_NO2NO3	positive
COG3724	log_PO4	positive
COG3048	sqrt_iron	positive
COG3900	Mean_Oxygen	negative
COG3476	Mean_Oxygen	positive
COG1899	log_NO2NO3	positive
COG0589	sqrt_iron	positive
COG2090	Mean_Oxygen	negative
COG2813	log_PO4	positive
COG1268	log_PO4	negative
COG3296	sqrt_iron	positive
COG2344	Mean_Oxygen	negative
COG2876	log_NO2NO3	positive
COG2106	Mean_Oxygen	negative
COG3401	Mean_Oxygen	negative
COG1675	log_NO2NO3	positive
COG5285	sqrt_iron	positive
COG2106	log_NO2NO3	positive
COG4748	Mean_Oxygen	positive
COG0693	sqrt_iron	positive
COG1243	Mean_Oxygen	negative
COG4044	sqrt_iron	positive
COG3538	log_NO2NO3	positive
COG4594	log_PO4	positive
COG1228	log_NO2NO3	positive
COG3397	log_PO4	positive
COG1830	Mean_Oxygen	negative
COG2389	sqrt_iron	positive
COG1670	sqrt_iron	positive
COG0797	sqrt_iron	positive
COG2996	Mean_Oxygen	positive
COG3340	sqrt_iron	negative
COG4191	Mean_Oxygen	positive
COG1602	Mean_Oxygen	negative
COG2913	Mean_Oxygen	positive
COG3161	Mean_Oxygen	positive
COG0407	sqrt_iron	negative
COG2098	Mean_Oxygen	negative
COG3197	sqrt_iron	positive
COG4750	Mean_Oxygen	negative
COG2317	log_NO2NO3	negative
COG1867	sqrt_iron	positive
COG5007	sqrt_iron	positive
COG5427	Mean_Oxygen	negative
COG0283	Mean_Oxygen	positive
COG0607	Mean_Oxygen	positive
COG3551	Mean_Oxygen	negative
COG5346	log_PO4	positive
COG1958	log_NO2NO3	positive
COG3195	sqrt_iron	positive
COG1992	log_NO2NO3	positive
COG0364	log_NO2NO3	negative
COG1739	log_PO4	positive
COG0423	log_NO2NO3	positive
COG0768	sqrt_iron	negative
COG3646	log_PO4	positive
COG0269	log_PO4	positive
COG1965	log_PO4	positive
COG3079	log_PO4	positive
COG2036	log_NO2NO3	positive
COG1980	Mean_Oxygen	negative
COG1534	sqrt_iron	positive
COG4315	Mean_Oxygen	positive
COG5556	log_NO2NO3	negative
COG0755	log_PO4	negative
COG1463	log_NO2NO3	negative
COG0229	log_PO4	negative
COG1847	Mean_Oxygen	negative
COG0321	Mean_Oxygen	positive
COG3624	sqrt_iron	positive
COG2120	log_NO2NO3	positive
COG1441	Mean_Oxygen	negative
COG3206	Mean_Oxygen	positive
COG4845	log_PO4	positive
