COG	metadata	polarity
COG3750	Mean_Oxygen	positive
COG3147	log_depth	positive
COG4276	size_fraction0.22-3	positive
COG5563	Mean_Oxygen	negative
COG3956	Mean_Temperature	positive
COG0276	log_depth	negative
COG4106	Mean_Salinity	positive
COG3637	log_depth	positive
COG5653	Mean_Salinity	positive
COG4856	Absolute_Latitude	positive
COG3724	Mean_Oxygen	positive
COG2250	sqrt_iron	positive
COG2451	log_PO4	positive
COG4608	Mean_Oxygen	negative
COG3559	log_NO2NO3	negative
COG0543	log_depth	positive
COG0616	log_depth	negative
COG0634	log_depth	positive
COG3381	sqrt_iron	positive
COG4638	log_depth	positive
COG2384	log_PO4	positive
COG3253	log_depth	positive
COG3467	Mean_Oxygen	negative
COG4325	log_depth	positive
COG0539	log_depth	negative
COG4454	log_PO4	negative
COG1407	Mean_Temperature	positive
COG1514	Mean_Oxygen	negative
COG3298	Mean_Oxygen	negative
COG4564	log_PO4	positive
COG3090	log_depth	negative
COG5479	Mean_Oxygen	negative
COG1752	log_depth	positive
COG4177	Mean_Oxygen	negative
COG4219	log_depth	positive
COG5394	Mean_Oxygen	negative
COG4531	Mean_Temperature	positive
COG4275	log_PO4	positive
COG5595	log_PO4	positive
COG1055	log_depth	positive
COG4669	Mean_Temperature	positive
COG0451	sqrt_iron	negative
COG2717	sqrt_iron	positive
COG4251	log_depth	positive
COG3096	size_fraction0.22-3	positive
COG3211	log_depth	positive
COG4324	Mean_Salinity	positive
COG0852	Mean_Oxygen	negative
COG1917	Mean_Salinity	positive
COG3155	log_depth	positive
COG5622	log_depth	positive
COG2048	log_depth	positive
COG0766	log_depth	negative
COG1493	Mean_Oxygen	positive
COG0609	log_PO4	positive
COG3319	size_fraction0.22-3	positive
COG2210	sqrt_iron	positive
COG3762	Mean_Oxygen	positive
COG3341	size_fraction0.22-3	positive
COG5013	log_depth	positive
COG1944	log_PO4	positive
COG3861	log_PO4	negative
COG1670	log_depth	positive
COG1977	log_depth	positive
COG0438	log_PO4	negative
COG4782	log_depth	positive
COG1533	Mean_Oxygen	negative
COG3440	sqrt_iron	negative
COG2128	log_depth	positive
COG3872	Mean_Oxygen	negative
COG2375	log_PO4	positive
COG0200	Mean_Temperature	positive
COG1802	sqrt_iron	positive
COG1742	log_depth	positive
COG0816	log_depth	negative
COG1387	size_fraction0.22-3	positive
COG2041	sqrt_iron	positive
COG5488	Mean_Temperature	positive
COG5006	size_fraction0.22-3	positive
COG0488	Mean_Temperature	negative
COG1382	Mean_Salinity	positive
COG1709	log_depth	positive
COG4326	log_PO4	positive
COG1485	log_depth	negative
COG0574	Mean_Oxygen	negative
COG2227	log_depth	negative
COG1480	sqrt_iron	negative
COG3899	log_depth	positive
COG3720	log_depth	positive
COG1920	Mean_Oxygen	negative
COG3126	log_depth	positive
COG2205	Mean_Temperature	positive
COG1030	log_depth	positive
COG1456	Mean_Oxygen	negative
COG3363	log_NO2NO3	positive
COG3420	log_depth	positive
COG4485	Mean_Oxygen	negative
COG0656	sqrt_iron	positive
COG1399	sqrt_iron	positive
COG1975	log_depth	positive
COG4264	log_PO4	positive
COG1497	Mean_Salinity	positive
COG3110	log_PO4	positive
COG2329	sqrt_iron	negative
COG2048	Mean_Oxygen	negative
COG5566	size_fraction0.22-3	positive
COG2264	Mean_Oxygen	positive
COG3077	log_depth	positive
COG0348	size_fraction0.22-3	positive
COG1867	size_fraction0.22-3	positive
COG0411	Mean_Oxygen	negative
COG3525	size_fraction0.22-3	positive
COG3204	size_fraction0.22-3	positive
COG5523	log_depth	negative
COG0128	log_depth	negative
COG0649	Mean_Oxygen	negative
COG1602	log_depth	positive
COG1980	log_depth	positive
COG2768	size_fraction0.22-3	positive
COG3218	log_depth	positive
COG4382	log_depth	positive
COG1181	log_depth	negative
COG0531	size_fraction0.22-3	positive
COG3186	log_depth	positive
COG3708	log_PO4	positive
COG0252	sqrt_iron	positive
COG2872	Mean_Oxygen	negative
COG4193	sqrt_iron	positive
COG1842	log_depth	positive
COG3059	log_depth	positive
COG3272	size_fraction0.22-3	positive
COG3365	Mean_Salinity	positive
COG0420	size_fraction0.22-3	positive
COG0062	Mean_Oxygen	negative
COG1576	Mean_Oxygen	positive
COG0444	Mean_Oxygen	negative
COG2457	Mean_Temperature	positive
COG0768	log_depth	negative
COG3045	log_depth	positive
COG1555	sqrt_iron	positive
COG2814	log_depth	positive
COG3358	size_fraction0.22-3	positive
COG3367	size_fraction0.22-3	positive
COG4405	log_depth	positive
COG1462	Mean_Temperature	negative
COG5463	log_depth	positive
COG0160	log_depth	positive
COG0417	log_depth	positive
COG3799	log_NO2NO3	positive
COG3784	log_PO4	positive
COG0325	log_depth	negative
COG3425	log_depth	positive
COG4542	log_depth	positive
COG4934	size_fraction0.22-3	positive
COG1069	Mean_Salinity	positive
COG3404	size_fraction0.22-3	positive
COG4539	log_depth	positive
COG2843	log_depth	positive
COG3326	log_PO4	positive
COG4790	Mean_Temperature	positive
COG3571	log_depth	positive
COG3872	log_depth	positive
COG1274	size_fraction0.22-3	positive
COG1315	size_fraction0.22-3	positive
COG2987	log_depth	positive
COG1647	log_depth	positive
COG0799	log_depth	negative
COG1646	log_depth	positive
COG3391	log_depth	positive
COG1852	Mean_Oxygen	negative
COG4682	log_depth	positive
COG1446	size_fraction0.22-3	positive
COG4878	log_depth	positive
COG1739	size_fraction0.22-3	positive
COG4137	Mean_Temperature	negative
COG0501	Mean_Oxygen	negative
COG0823	Mean_Oxygen	negative
COG1529	sqrt_iron	positive
COG2833	sqrt_iron	positive
COG3174	log_depth	positive
COG2183	log_PO4	positive
COG3384	size_fraction0.22-3	positive
COG2015	size_fraction0.22-3	negative
COG4559	Mean_Oxygen	positive
COG4582	size_fraction0.22-3	positive
COG5640	log_depth	positive
COG0701	sqrt_iron	positive
COG1001	log_NO2NO3	positive
COG2912	size_fraction0.22-3	positive
COG3726	log_PO4	positive
COG1576	log_depth	negative
COG3609	log_depth	positive
COG3417	size_fraction0.22-3	positive
COG3425	size_fraction0.22-3	positive
COG3579	log_depth	positive
COG3734	Mean_Oxygen	positive
COG1476	sqrt_iron	positive
COG3295	log_PO4	positive
COG3403	log_depth	positive
COG1013	log_depth	positive
COG5055	log_NO2NO3	negative
COG1427	log_depth	positive
COG1369	Mean_Salinity	positive
COG2068	log_depth	positive
COG2323	log_depth	positive
COG4963	log_depth	positive
COG1850	log_PO4	negative
COG1945	Mean_Oxygen	negative
COG2335	size_fraction0.22-3	positive
COG2080	Mean_Oxygen	negative
COG4464	log_depth	positive
COG4704	log_PO4	positive
COG4099	size_fraction0.22-3	positive
COG1171	Mean_Oxygen	positive
COG1590	log_depth	positive
COG4538	log_PO4	positive
COG1980	size_fraction0.22-3	positive
COG2080	sqrt_iron	positive
COG2095	sqrt_iron	positive
COG4848	log_depth	positive
COG4099	log_depth	positive
COG4635	Mean_Oxygen	positive
COG1286	Mean_Oxygen	positive
COG2373	log_depth	positive
COG0043	size_fraction0.22-3	positive
COG1075	log_NO2NO3	negative
COG2206	size_fraction0.22-3	positive
COG3442	log_depth	positive
COG1597	sqrt_iron	positive
COG0703	log_depth	negative
COG3138	Mean_Oxygen	positive
COG4199	log_depth	positive
COG4791	Mean_Temperature	positive
COG0182	Mean_Oxygen	negative
COG3481	log_depth	positive
COG3766	Mean_Salinity	positive
COG4121	Mean_Oxygen	positive
COG5293	log_depth	positive
COG1656	log_depth	positive
COG2922	log_PO4	positive
COG1874	Mean_Oxygen	positive
COG3347	Mean_Oxygen	negative
COG3838	log_depth	positive
COG4399	size_fraction0.22-3	positive
COG5461	log_depth	positive
COG5652	Mean_Oxygen	negative
COG3910	sqrt_iron	positive
COG0121	log_depth	positive
COG1305	log_NO2NO3	negative
COG2995	log_depth	positive
COG3770	Mean_Oxygen	positive
COG3822	log_depth	negative
COG3812	Mean_Oxygen	positive
COG4647	log_depth	positive
COG1108	Mean_Oxygen	positive
COG1139	log_depth	positive
COG5451	size_fraction0.22-3	positive
COG3096	log_PO4	positive
COG2085	log_depth	positive
COG2605	log_depth	positive
COG3098	sqrt_iron	positive
COG3794	sqrt_iron	negative
COG3347	log_depth	positive
COG1681	Mean_Oxygen	negative
