"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node849.P.B.",0.085795082,0.0852355,0.063657,0.108868,801.059328040929,1,"passed",0.61504762641983,"passed",0.912981687754976,"passed",0.000805805053481616
"Node849.P.C.",0.912634238,0.91293,0.889674,0.934893,874.370201339776,1,"passed",0.849939750839023,"passed",0.915998727871835,"passed",0.000769153234181016
"Node850.P.A.",0.00010381,5.95e-05,2.1e-05,0.000263,146.681705108435,1,"passed",0.188592648477091,"passed",0.453961691487008,"failed",1.30562618186826e-05
"Node850.P.B.",0.025736876,0.025535,0.017367,0.033429,836.205576980673,1,"passed",0.722463709282541,"passed",0.912981687754976,"passed",0.00027990061716387
"Node850.P.C.",0.974159315,0.9743565,0.965962,0.982039,850.560487623055,1,"passed",0.769076144578554,"passed",0.912981687754976,"passed",0.000277524956153133
"Node851.P.A.",0.001894207,0.0011255,0.000501,0.004542,135.317309110823,1,"passed",0.17032797102466,"passed",0.453961691487008,"failed",0.000236870607766461
"Node851.P.B.",0.221983836,0.2179795,0.148108,0.295585,908.562260289759,1,"passed",0.34254662391704,"passed",0.66149531258439,"passed",0.00251834009765542
"Node851.P.C.",0.776121927,0.780612,0.699633,0.847733,999.999999999999,1,"passed",0.412890515940976,"passed",0.764021425213815,"passed",0.00241550799592105
"Node852.P.A.",0.000176342,0.000103,2.8e-05,0.000448,151.562639403488,1,"passed",0.186959883013666,"passed",0.453961691487008,"failed",2.1961766347206e-05
"Node852.P.B.",0.033045301,0.0326745,0.022397,0.044511,825.521080113727,1,"passed",0.715943175368923,"passed",0.912981687754976,"passed",0.000389284045365104
"Node852.P.C.",0.96677836,0.967115,0.955414,0.977447,843.39954472082,1,"passed",0.772083088830172,"passed",0.912981687754976,"passed",0.000385272848646116
"Node853.P.A.",0.000147985,8.6e-05,2.5e-05,0.000374,149.366560215069,1,"passed",0.187283907528941,"passed",0.453961691487008,"failed",1.85008912438523e-05
"Node853.P.B.",0.03048085,0.0301785,0.020886,0.040623,830.294059077325,1,"passed",0.717151806959892,"passed",0.912981687754976,"passed",0.000345895419885205
"Node853.P.C.",0.969371197,0.969645,0.959298,0.97898,847.028315752861,1,"passed",0.770482703576447,"passed",0.912981687754976,"passed",0.000342528409702725
"Node854.P.A.",0.00011628,6.7e-05,1.9e-05,0.00029,146.411234892495,1,"passed",0.188803299047442,"passed",0.453961691487008,"failed",1.45764686494929e-05
"Node854.P.B.",0.026976174,0.026766,0.019352,0.036027,834.310065901371,1,"passed",0.717420003684782,"passed",0.912981687754976,"passed",0.000291090760421828
"Node854.P.C.",0.972907526,0.973113,0.964428,0.981093,849.761883593571,1,"passed",0.767482760687135,"passed",0.912981687754976,"passed",0.000288411305121597
"Node855.P.A.",0.175451028,0.1501065,0.129647,0.246593,104.57303766282,1,"passed",0.10555190362414,"passed",0.453961691487008,"passed",0.00771120141538136
"Node855.P.B.",0.64888929875,0.6559355,0.580798,0.703661,147.647264597435,201,"passed",0.168459305978424,"passed",0.453961691487008,"passed",0.00522509347170394
"Node855.P.C.",0.177206646,0.178075,0.130879,0.221572,1000,1,"passed",0.726025227334361,"passed",0.912981687754976,"passed",0.00144595022783556
"Node856.P.A.",7.0664e-05,4e-05,1.4e-05,0.000179,146.987914091514,1,"passed",0.189034393876639,"passed",0.453961691487008,"failed",8.89989439928356e-06
"Node856.P.B.",0.021387795,0.0212095,0.014392,0.027825,838.699648768216,1,"passed",0.730618915443561,"passed",0.912981687754976,"passed",0.000234147886140586
"Node856.P.C.",0.978541551,0.9787125,0.972142,0.985586,850.341879399314,1,"passed",0.76837905659702,"passed",0.912981687754976,"passed",0.000232546252358907
"Node857.P.A.",0.000565633,0.0003305,0.000115,0.001394,143.966723617311,1,"passed",0.184564277202381,"passed",0.453961691487008,"failed",6.95612591218434e-05
"Node857.P.B.",0.055436165,0.055073,0.040098,0.071927,816.641752471568,1,"passed",0.662744044010217,"passed",0.912981687754976,"passed",0.000560624417539476
"Node857.P.C.",0.943998191,0.9443615,0.928114,0.959838,855.593583637454,1,"passed",0.788864537241038,"passed",0.912981687754976,"passed",0.000547116999920173
"Node858.P.A.",0.003817924,0.002309,0.000875,0.008933,139.202052745244,1,"passed",0.178179595817678,"passed",0.453961691487008,"failed",0.000448036491521573
