"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node466.P.B.",0.157545966,0.157806,0.108872,0.204697,999.999999999998,1,"passed",0.248663126848803,"passed",0.377194745398102,"passed",0.00157316770090451
"Node466.P.C.",0.817900006,0.819214,0.752188,0.887997,1000,1,"passed",0.19132082870016,"passed",0.349248945461001,"passed",0.00224412235756946
"Node467.P.A.",0.033975783,0.032048,0.008306,0.059879,1000,1,"passed",0.113980743013406,"passed",0.349248945461001,"passed",0.000881311290852984
"Node467.P.B.",0.175361446,0.175821,0.125435,0.221793,1000,1,"passed",0.267263943109486,"passed",0.390802344185271,"passed",0.00157786221801121
"Node467.P.C.",0.790662765,0.7915425,0.721296,0.867907,1000,1,"passed",0.193366010829497,"passed",0.349248945461001,"passed",0.00242133730209785
"Node468.P.A.",0.048457645,0.046829,0.01952,0.08114,1000,1,"passed",0.115213040732236,"passed",0.349248945461001,"passed",0.00103743191373231
"Node468.P.B.",0.202323019,0.203164,0.15566,0.242276,1000,1,"passed",0.298285820631515,"passed",0.407981511914482,"passed",0.00140741286001216
"Node468.P.C.",0.749219335,0.749181,0.682123,0.828639,999.999999999999,1,"passed",0.196015129830012,"passed",0.349248945461001,"passed",0.00240136760015579
"Node469.P.A.",0.085732874,0.0847755,0.047917,0.12744,1000,1,"passed",0.125066034073918,"passed",0.349248945461001,"passed",0.00130803888757056
"Node469.P.B.",0.245018846,0.2459975,0.205173,0.273879,1000,1,"passed",0.368035660416125,"passed",0.462831939711339,"passed",0.00109141264374161
"Node469.P.C.",0.669248305,0.667983,0.599729,0.743431,999.999999999998,1,"passed",0.200758225948437,"passed",0.349248945461001,"passed",0.00234187880235351
"Node470.P.A.",0.107925608,0.1074815,0.064805,0.152783,1000,1,"passed",0.134889529533431,"passed",0.349248945461001,"passed",0.00144176654406225
"Node470.P.B.",0.262372641,0.263412,0.23084,0.293704,1000,1,"passed",0.401037192969977,"passed",0.488885490891817,"passed",0.000994057472819985
"Node470.P.C.",0.629701736,0.62816,0.561017,0.707057,999.999999999999,1,"passed",0.206973016321493,"passed",0.350882354254426,"passed",0.00237565252946603
"Node471.P.A.",0.035071607,0.033212,0.008904,0.065258,1000,1,"passed",0.0677797569204729,"passed",0.349248945461001,"passed",0.000968292559277356
"Node471.P.B.",0.182742728,0.1830255,0.12905,0.238351,999.999999999999,1,"passed",0.208009902288177,"passed",0.350882354254426,"passed",0.00174601114844389
"Node471.P.C.",0.782185664,0.7833735,0.698063,0.859538,1000,1,"passed",0.133974563311164,"passed",0.349248945461001,"passed",0.00265407848023481
"Node472.P.A.",0.0371463555555556,0.034915,0.008466,0.069572,1000,101,"passed",0.057097004615807,"passed",0.349248945461001,"passed",0.00111869691699764
"Node472.P.B.",0.231586747,0.230171,0.164906,0.304294,1000,1,"passed",0.182531225195829,"passed",0.349248945461001,"passed",0.00222827225737578
"Node472.P.C.",0.73145533,0.7340435,0.639481,0.823118,1000,1,"passed",0.0906889274539064,"passed",0.349248945461001,"passed",0.0030652177539934
"Node473.P.A.",0.1349917525,0.1335115,0.067457,0.204979,1000,201,"passed",0.0507945220373283,"passed",0.349248945461001,"passed",0.00256308281522845
"Node473.P.B.",0.451094579,0.4443005,0.389209,0.532647,1000,1,"passed",0.82098527786827,"passed",0.851044235410357,"passed",0.00238834175775944
"Node473.P.C.",0.414603399,0.4187315,0.30671,0.502609,1000,1,"passed",0.111627902805608,"passed",0.349248945461001,"passed",0.00313095410790967
"Node474.P.A.",0.246587381,0.248292,0.170703,0.32938,1000,1,"passed",0.0534568943825887,"passed",0.349248945461001,"passed",0.00258850145521296
"Node474.P.B.",0.552987385,0.549877,0.475051,0.63808,1000,1,"passed",0.433867521451376,"passed",0.518854242918356,"passed",0.00258767564498278
"Node474.P.C.",0.200425248,0.2020295,0.137975,0.257607,999.999999999999,1,"passed",0.173250964892211,"passed",0.349248945461001,"passed",0.00194146785675692
"Node475.P.A.",0.030887035,0.029248,0.010895,0.055881,1000,1,"passed",0.110875633158462,"passed",0.349248945461001,"passed",0.000767817055014284
"Node475.P.B.",0.174859488,0.175558,0.128168,0.217854,999.999999999999,1,"passed",0.265002999034484,"passed",0.388736674815286,"passed",0.0014730325604362
"Node475.P.C.",0.794253471,0.7949015,0.730946,0.865204,1000,1,"passed",0.193669048666309,"passed",0.349248945461001,"passed",0.00220890125496434
"Node476.P.A.",0.036725435,0.035225,0.014169,0.063375,1000,1,"passed",0.111673091516512,"passed",0.349248945461001,"passed",0.000833042406663232
"Node476.P.B.",0.185546687,0.1864065,0.139689,0.226711,1000,1,"passed",0.27345958222741,"passed",0.394262223898844,"passed",0.00142905323104976
"Node476.P.C.",0.777727883,0.7779835,0.709327,0.845047,999.999999999999,1,"passed",0.193870439838767,"passed",0.349248945461001,"passed",0.00222881518727852
"Node477.P.A.",0.041762889,0.040636,0.019133,0.066938,999.999999999998,1,"passed",0.108963071377928,"passed",0.349248945461001,"passed",0.000802429312156598
"Node477.P.B.",0.197824344,0.1988885,0.157503,0.233133,999.999999999999,1,"passed",0.282617840298787,"passed",0.400331087102409,"passed",0.00124123881605619
"Node477.P.C.",0.760412745,0.760136,0.701759,0.824437,1000,1,"passed",0.192126136139106,"passed",0.349248945461001,"passed",0.00201264964398038
"Node478.P.A.",0.074840288,0.07348,0.03522,0.115501,1000,1,"passed",0.124633524973901,"passed",0.349248945461001,"passed",0.00132830194086979
